"recipient_iso","year","emergency_commitments"
"JAM",2009,0.86859
"JAM",2010,0.533166
"JAM",2011,0.809301
"JAM",2012,0.358327
"JAM",2013,0.177223
"JAM",2014,4.536746
"JAM",2015,8.752531
"JAM",2016,26.121175
"JAM",2017,20.327626
"JAM",2018,1.955317
"JAM",2019,0.37876
"JAM",2020,29.468147
"JAM",2021,5.880223
"JAM",2022,1.885488
"JAM",2023,11.956816
"JAM",2024,10.118612
"JOR",2008,27.084668
"JOR",2009,33.719854
"JOR",2010,54.557963
"JOR",2011,49.22267
"JOR",2012,157.794439
"JOR",2013,539.057492
"JOR",2014,778.668186
"JOR",2015,933.201484
"JOR",2016,594.451525
"JOR",2017,417.608786
"JOR",2018,631.50569
"JOR",2019,653.446365
"JOR",2020,463.275047
"JOR",2021,331.53032
"JOR",2022,361.450144
"JOR",2023,308.951421
"JOR",2024,262.048914
"KAZ",2008,0.849991
"KAZ",2009,0.00506
"KAZ",2010,3.775149
"KAZ",2011,0.752634
"KAZ",2012,0.100952
"KAZ",2013,2.048937
"KAZ",2014,0.434799
"KAZ",2015,1.116481
"KAZ",2016,14.368299
"KAZ",2017,1.893928
"KAZ",2018,0.116259
"KAZ",2019,0.138996
"KAZ",2020,2.261067
"KAZ",2021,0.629041
"KAZ",2022,0.478308
"KAZ",2023,0.125255
"KAZ",2024,46.510779
"KEN",2008,294.375522
"KEN",2009,497.930744
"KEN",2010,363.129258
"KEN",2011,613.356353
"KEN",2012,357.113504
"KEN",2013,460.807525
"KEN",2014,428.627937
"KEN",2015,379.449011
"KEN",2016,343.216266
"KEN",2017,331.46554
"KEN",2018,448.317638
"KEN",2019,211.962708
"KEN",2020,280.272339
"KEN",2021,398.60411
"KEN",2022,690.45596
"KEN",2023,616.126955
"KEN",2024,359.703217
"KGZ",2008,4.049665
"KGZ",2009,13.132285
"KGZ",2010,226.348789
"KGZ",2011,8.378637
"KGZ",2012,5.861823
"KGZ",2013,5.686698
"KGZ",2014,2.239301
"KGZ",2015,3.320817
"KGZ",2016,3.96837
"KGZ",2017,35.847363
"KGZ",2018,18.101325
"KGZ",2019,1.426353
"KGZ",2020,51.956009
"KGZ",2021,4.843646
"KGZ",2022,85.504259
"KGZ",2023,37.205154
"KGZ",2024,10.312496
"KHM",2008,28.740843
"KHM",2009,9.126322
"KHM",2010,20.717893
"KHM",2011,22.984272
"KHM",2012,11.231222
"KHM",2013,3.731188
"KHM",2014,8.896659
